Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Department Name,Supplier Code,Supplier Qualifications,Quantity,Unit Price,Total Price,Classification Codes,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title
9/5/2012,2012-2013,,4500149558,NON-IT Goods,,Formal Competitive,"Corrections and Rehabilitation, Department of",48199,CA-SB,40,$0.60 ,$24.00 ,50405625,50405625,Jalapeno peppers,50405600,Peppers,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
10/18/2012,2012-2013,,4500156192,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1327540,CA-MB CA-SB,1,"$12,587.05 ","$12,587.05 ",50301541,50301541,Ida red apples,50301500,Apples,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products
10/17/2012,2012-2013,,4500156124,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,45803,CA-MB CA-SB,1,$199.00 ,$199.00 ,55101506,55101506,Magazines,55101500,Printed publications,55100000,Printed media,55000000,Published Products
10/30/2012,2012-2013,,S2556056,NON-IT Goods,,Informal Competitive,"Parks & Recreation, Department of",1746707,,1000,$4.95 ,"$4,950.00 ",10121505,10121505,Hay,10121500,Livestock feed,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
11/14/2012,2012-2013,,4500159228,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1065902,,14686.5,$1.00 ,"$14,686.50 ",50201706,50201706,Coffee,50201700,Coffee and tea,50200000,Beverages,50000000,Food Beverage and Tobacco Products
11/27/2012,2012-2013,,4500160629,NON-IT Goods,,State Programs,"Corrections and Rehabilitation, Department of",1008361,,1,"$214,788.00 ","$214,788.00 ",56101532,56101532,Furniture set,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
11/30/2012,2012-2013,,11OAL07,NON-IT Goods,,NCB,"Administrative Law, Office of",1001493,,1,"$5,000.00 ","$5,000.00 ",55101524,55101524,Reference books,55101500,Printed publications,55100000,Printed media,55000000,Published Products
5/14/2014,2013-2014,,W0000828,NON-IT Goods,,Fair and Reasonable,"Veterans Affairs, Department of",47767,CA-MB CA-SB,1,"$3,593.00 ","$3,593.00 ",53102708,53102708,Nurses uniforms,53102700,Uniforms,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
6/23/2013,2012-2013,5-08-89-15,4500187456,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"$15,000.00 ","$15,000.00 ",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
11/15/2012,2012-2013,,565D2005,NON-IT Goods,,State Programs,"Highway Patrol, California",1065902,,4,$351.00 ,"$1,404.00 ",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
6/10/2014,2013-2014,,4500237320,NON-IT Goods,,Informal Competitive,Correctional Health Care Services,1114862,,1,"$13,344.00 ","$13,344.00 ",14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products
6/29/2013,2012-2013,5-08-89-15,4500188538,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"$20,000.00 ","$20,000.00 ",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
5/6/2014,2013-2014,1-11-87-17C,235,NON-IT Goods,,Statewide Contract,"Fish and Wildlife, Department of",1752282,,6000,$0.57 ,"$3,420.00 ",10121703,10121703,Fish food flakes,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
12/3/2012,2012-2013,,4500161419,NON-IT Goods,,State Programs,Correctional Health Care Services,1065902,,4,$359.00 ,"$1,436.00 ",56101522,56101522,Arm chair,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
